HANDELSNAAM,AKTIEF,NR,LABEL,KATEGORIE,REDE,ONTHOUDING
MAGICAL,N:Ca:Mg:B:Mo:S:Zn:Cu:Mn,K5627,GROEN,BLAAR,BLAARVOEDING,0
MAGNESIUM PHLOEM,MAGNESIUM (Mg),,GROEN,BLAAR,BLAARVOEDING,0
MAGNESIUM SULFAAT,"MAGNESIUM (Mg), SWAEL (S)",,GROEN,BLAAR,BLAARVOEDING,0
MAKHROMECTIN 18 EC,ABAMEKTIEN,L7941,ROOI,INSEK,BLAARMYNER,14
MANAGER 435 SC,MANKOSEB (DITIO-KARBAMAAT),L3538,BLOU,SWAM,DONSIGE SKIMMEL,0
MAP (39),MONO AMMONIUM FOSFAAT,K6892,GROEN,KUNSMIS,KUNSMIS,0
MARINURE AMINO-FOLIA,MICRO ELEMENTE + AMINO SURE,B5003,GROEN,BLAAR,BLAARVOEDING,0
MARINURE CAL,KALSIUM (Ca),,GROEN,BLAAR,BLAARVOEDING,0
MARINURE SALIC,K:Mn:Ca:B,B3982,GROEN,BLAAR,BLAARVOEDING,0
MARIPHOS 400 SL,KALIUMFOSFAAT,L6954,,SWAM,DONSIGE SKIMMEL,
MARSHAL 48 EC,KARBOSULFAN (KARBAMAAT),L3314,ROOI,INSEK,BLAASSPOOTJIE,21
MERPAN 50 SC,KAPTAB,L5511,BLOU,SWAM,DAMPING/ VERDWYN SIEKTE,
MESSENGER,HARPIN ALPHA BETA  PROTEIEN,B4761,GROEN,BLAAR,BLAARVOEDING,0
METAMIDOFOS 585 SL,METAMIDOFOS (ORGANOFOSFAAT),L4286,ROOI,INSEK,LUISE,
METAZEB 700 WP,"METALAKSIL (FENIELAMIED), MANKOSEB (DITIOKARBAMAAT)",L7463,BLOU,SWAM,DONSIGE SKIMMEL,
MICROS Z,VISOLIE EMULSIE,B4494,GROEN,BLAAR,BLAARVOEDING,0
MICROTHIOL SPECIAL,SWAEL (S),L5329,BLOU,SWAM,"BOTRYTIS, SWAEL INHOUD, BLAASPOOTJIE",
MIDNIGHT,"FOSFAAT (P), KALIUM (K), MAGNESIUM (Mg) + MICRO ELEMENTE",,GROEN,KUNSMIS,KUNSMIS,0
MIRADOR 250 SC,ASOKSISTROBIEN (STROBILURIEN),L8894,BLOU,SWAM,ALTENARIA,20
MISSION 720 SC,CHLOROTHALONIL (PHTHALONITRIEL),L8432,BLOU,SWAM,BREE SPEKTRUM SWAMDODER,14
MOB,"MOLIBDEEN, BOOR",B4301,GROEN,BLAAR,BLAARVOEDING,0
MULTIFEED P 5:2:4 (43),"21.5%(N), 8.6%(P), 17.2%(K)",K5994,GROEN,BLAAR,BLAARVOEDING,0
MYCOBLOCK 250 SC,ASOKSISTROBIEN (STROBILURIEN),L8591,BLOU,SWAM,ALTENARIA,
MYCOGUARD 720 SC,CHLOROTHALONIL (PHTHALONITRIEL),L8417,BLOU,SWAM,ALTENARIA,0
NANOGREEN SC,KOPEROKSI CHLORIED,L8980,BLOU,SWAM,SWAMSPORE/ SANITEERDER,
NEMACUR 400 EC,FENAMIFOS  (ORGANOFOSFAAT),L0367,ROOI,NEMATODE,NEMATODE,80
NEW MARINURE CAL,"KALSIUM (Ca), BOOR (B)",,GROEN,BLAAR,BLAARVOEDING,0
NORDOX 86% WG,KOPEROKSIED (KOPER EKWIVALENT),L8077,BLOU,SWAM,SWAMSPORE/ SANITEERDER,
NOVOMAX,SEAWEED EXTRACT,B4613,GROEN,BLAAR,BLAARVOEDING,0
NU-FILM P,POLI-1-P-MENTHENE,L2980,PERS,BYVOEG MIDDEL,KLEEFMIDDEL,0
NUTRIVO,"MICRO ELMENTE, SITOKININE, AUKSIGIE GIBBERLIENE",K8794,GROEN,BLAAR,BLAARVOEDING,0
ODEON 720 SC,CHLOROTALONIL,L7596,BLOU,SWAM,ALTENARIA,
OMNIBOOST,MAKRO & MIKRO ELEMENTE,,GROEN,BLAAR,BLAARVOEDING,0
OMNIBOR,"BOOR (B), MOLIBDEEN (Mo)",,GROEN,KUNSMIS,KUNSMIS,0
OPTITRACE Zn,SINK (Zn),,GROEN,BLAAR,BLAARVOEDING,0
ORGANOGROW,MIKROBES,M405,GROEN,BLAAR,WORTEL STIMULANT,0
ORIUS 250 EW,TEBUKONASOOL (TRIASOOL),L6832,BLOU,SWAM,ALTENARIA,
OXAMYL 100 GR KORREL,OKSAMIL (KARBAMAAT),L10375,GEEL,NEMATODE,NEMATODE,
OXAMYL 310 SL,OKSAMIL (KARBAMAAT),L9246,ROOI,NEMATODE,NEMATODE,35
PANTERA EC,KWISALOFOP-P-TEFURIEL (ARIELOKSIEFENOKSIE PROPIONAAT),L6451,BLOU,ONKRUID,ONKRUIDDODER,
PARAQUAT 200 SL,"PARAQUAT (BIPYRIDYL), DICHLORIDE SALT",L4461,ROOI,ONKRUID,ONKRUIDDODER,
PENETROL,"SAPONIFIED, FATTY ACIDS, TOCOPHEROLS",L8835,BLOU,BYVOEG MIDDEL,BENATTER,0
PENNFLUID,MANKOSEB (DITIOKARBAMAAT),L7733,BLOU,SWAM,ALTENARIA,14
PHENOL PLUS,MIKRO VOEDING STOWWE,B5357,GROEN,BLAAR,BLAAR & PLANT STIMULANT,0
PLATOON 100 GR,OKSAMIL (KARBAMAAT),L7913,ROOI,NEMATODE,NEMATODE,
PLATOON 310 SL,OKSAMIL (KARBAMAAT),L7913,ROOI,NEMATODE,NEMATODE,
POLYFEED 6:1:3 (44),"26.4%(N), 4.4%(P),13.2%(K)",K5993,GROEN,BLAAR,BLAARVOEDING,0
PREDATOR 200 EC,DICHLOROFEN,L11044,BLOU,SWAM,WITBOLVROT,3
PROFENOFOS 500 EC,PROFENOFOS (ORGANOFOSFAAT),L6553,GEEL,INSEK,BLAASSPOOTJIE,
PROPLANT,PROPAMOKARB HYDROKLORIED (KARBAMAAT),,BLOU,SWAM,DAMPING/ VERDWYN SIEKTE,
PROTECTOR 400 SC,PIRIMETANIEL (ANILIENDERIVAAT),L8606,BLOU,SWAM,BOTRYTIS,3
PYRINEX 480 EC,CHLORPIRIFOS (ORGANOFOSFAAT),L4673,GEEL,INSEK,BLAASSPOOTJIE,
RAPPID K,"FOSFAAT (P), KALIUM (K)",K9566,GROEN,BLAAR,BLAARVOEDING,0
REAL METARHIZIUM (MET 69),METARHIZIUM,L9281,GROEN,INSEK,BLAASSPOOTJIE,0
REMOVE,OKSADIASON (OKSADIASOOL),,BLOU,ONKRUID,ONKRUIDDODER,
RHIZOVATOR ,MICRO ELEMENTE,,GROEN,BLAAR,BLAARVOEDING,0
RIDOMIL GOLD,"MEFENOXAM (FENIELAMIED), CHLOROTHALONIL (CHLORONITRIEL) ",L6669,BLOU,SWAM,DONSIGE SKIMMEL,
RONSTAR,OKSADIASON (OKSADIASOOL),L417,BLOU,ONKRUID,ONKRUIDDODER,
RUBYGLO,KALIUM (K),K8346,GROEN,BLAAR,BLAARVOEDING,0
RUGBY 10 ME,KADUSAFOS (ORGANOFOSFAAT),L6368,GEEL,NEMATODE,NEMATODE,
SEABRIX,VISOLIE EMULSIE,B5146,GROEN,BLAAR,BLAARVOEDING,0
SELECRON 500 EC,PROFENOFOS (ORGANOFOSFAAT),L3113,GEEL,INSEK,BLAASSPOOTJIE,14
SELEFOS,PROFENOFOS (ORGANOFOSFAAT),L6950,GEEL,NEMATODE,NEMATODE,
SERVUS 25 EC,DELTAMETRIEN (PIRETROIED),L7271,GEEL,INSEK,BLAASSPOOTJIE,2
SIGNALPRO,SALISIESUUR,B6697,GROEN,BLAAR,PLANT STIMULANT,0
SILICOTE,POLYETHER MODIFIED TRISILOXANE,L9079,BLOU,BYVOEG MIDDEL,BENATTER,0
SIZE ME,"FOSFOR, KALIUM",,GROEN,KUNSMIS,KUNSMIS,0
SPHINX STAR WDG,"DIMETOMORF (KANEELSUURDERIVAAT), CHLOROTALONIEL (FTALONITRIEL)",L9084,BLOU,SWAM,DONSIGE SKIMMEL,
SPOREKILL,"DIDESIELDIMETIELAMMONIUM, CHLORIED (DEPATENTEERDE PRODUK)",L7115,BLOU,SWAM,SWAMSPORE/ SANITEERDER,10
STRANGLER SL,OKSAMIL  (KARBAMAAT),L10062,ROOI,NEMATODE,NEMATODE,
SUMISCLEX SC,PROSIMIDOON (DIKARBOKSIMIED),L6377,GROEN,SWAM,"ALTENARIA,  BOTRYTIS",8
SUPER GROW WP,SAMESTELLING VAN HUMUS - EN FULVIENSURE,M36,GROEN,BLAAR,ORGANIESE MIKROBIESE GROND VERSTERKER,0
SWEEPER ADVANCE,"FOLPET, PIRAKLOSTROBIEN",,GROEN,SWAM,ROES,
TALONIL 720,CHLOROTHALONIL (PHTHALONITRIEL),L8935,BLOU,SWAM,BREE SPEKTRUM SWAMDODER,
